USERID	Entertainment	Health	News	Sports	Lifestyle
5491217	2	0	0	0	0
6382787	17	1	9	2	0
4120580	2	0	0	0	0
4338104	1	0	0	0	0
3522280	1	0	0	3	0
6941999	2	0	0	1	0
4971031	2	0	0	0	0
2127552	32	0	0	0	0
333228	2	0	3	1	0
4481906	6	0	0	0	0
6947233	1	0	0	0	0
3999556	8	0	1	0	0
5048831	1	0	0	0	0
5886785	0	1	0	1	0
2950776	15	0	0	0	0
4404724	0	0	0	0	0
6979243	1	0	0	0	0
6945855	1	0	0	0	0
6984983	7	0	1	0	0
3761564	7	0	0	0	0
1870634	1	0	0	0	0
7006567	2	0	0	0	0
2741262	1	0	0	0	0
3780456	8	0	0	0	0
5807507	6	0	0	0	0
5600967	0	1	0	0	0
5589049	3	0	2	0	0
6940227	2	0	0	0	0
6768205	4	0	0	0	0
2508276	18	0	0	0	0
6986235	2	0	0	0	0
6926327	0	0	1	0	0
5606753	0	0	0	0	0
5275937	0	0	0	0	0
3031196	1	0	0	0	0
2348414	5	0	2	0	0
6922527	0	0	3	1	0
3269646	2	0	0	1	0
4618200	8	1	2	0	0
715520	2	0	0	0	0
6924787	2	0	2	0	0
4163232	4	0	0	0	0
7013867	1	0	0	0	0
3150264	1	0	1	1	0
6932383	2	1	1	0	0
4403182	2	0	0	0	0
6988749	1	0	0	0	0
6066759	4	0	0	0	0
4187350	8	0	0	0	0
2054504	0	0	0	0	0
1769826	0	0	0	0	0
651298	8	1	1	1	0
6335787	2	0	0	0	0
6517223	1	0	0	0	0
6886035	2	0	0	0	0
6948015	6	0	0	0	0
6499959	0	0	0	0	0
4356934	2	0	1	0	0
6948013	1	0	0	0	0
4866155	0	0	0	1	0
2997196	3	0	0	0	0
2010834	4	0	0	0	0
6909113	0	0	0	0	0
5583557	2	0	1	0	0
2777570	3	0	0	0	0
6947909	1	0	0	0	0
3977782	1	0	0	0	0
7003105	0	0	1	0	0
6901463	1	0	0	0	0
2449860	2	0	0	0	0
4468968	2	0	0	0	0
2710668	1	0	0	0	0
6962097	4	0	0	0	0
6978857	1	0	0	0	0
6125625	0	0	0	1	0
5246807	9	0	4	3	0
3927778	2	0	0	0	0
4122186	1	0	0	0	0
6397745	0	0	1	0	0
6935381	6	0	0	0	0
6993803	0	0	0	1	0
2536504	8	0	0	0	0
6993801	1	0	0	0	0
1439716	2	0	2	0	0
5308607	2	0	2	0	1
6951301	0	0	1	1	0
319036	1	0	0	0	0
7015015	1	0	0	0	0
3956340	1	0	0	0	0
2877820	8	0	0	0	0
6192945	1	0	0	1	0
4007134	1	0	2	0	0
6455313	8	0	0	0	0
6729747	10	0	0	0	0
6927147	26	0	0	0	0
7012175	2	0	0	0	0
2514382	1	0	0	0	0
6969517	1	0	0	0	0
6698861	0	0	1	0	0
6953103	1	0	0	0	0
6788283	1	0	0	0	0
6964009	0	0	0	0	0
7000575	1	0	0	0	0
6935569	4	0	0	0	0
4354798	4	3	3	3	0
6785533	1	0	0	0	0
3562944	3	0	0	0	0
6958991	1	0	0	0	0
1629798	2	0	0	0	0
3865144	2	0	0	0	0
6995321	5	0	0	0	0
2989606	1	0	0	0	0
178572	0	0	0	0	0
6712079	0	0	0	1	0
2565930	7	0	6	1	0
224238	14	0	2	0	0
6942883	1	0	1	0	0
5821851	3	0	0	0	0
4674528	4	0	0	0	0
3666080	1	0	0	0	0
4696821	6	0	0	0	0
3666084	2	1	4	1	0
6977955	1	0	0	0	0
3008042	1	0	0	0	0
992836	2	0	0	0	0
6764685	4	0	0	0	0
1744352	18	1	6	4	0
5786171	0	0	0	1	0
7008683	1	0	0	0	0
5267589	5	0	0	0	0
7016609	1	0	0	0	0
5989519	1	0	0	0	0
5015599	0	0	0	0	0
6923493	3	0	0	0	0
6996981	1	0	0	1	0
6716179	0	0	1	0	0
6929691	1	0	0	0	0
6950731	2	0	0	0	0
3169040	1	1	0	1	0
867990	2	0	0	0	0
6950737	0	0	1	0	0
4534934	7	0	0	0	0
6480461	0	0	0	1	0
6916085	1	0	0	0	0
7004901	2	0	0	0	0
1061352	1	0	0	0	0
7004903	4	0	0	0	0
6642925	14	1	0	0	0
4714341	2	0	0	0	0
509906	0	0	0	0	0
6216533	5	0	2	1	0
1288830	1	0	0	0	0
6994059	1	0	0	0	0
4400676	0	0	1	0	0
4800953	5	0	0	0	0
6994051	5	0	0	0	0
4492778	0	0	1	0	0
5088859	5	0	0	0	0
5136281	1	0	1	0	0
2938214	1	0	0	0	0
220048	0	0	2	1	0
5458245	2	0	1	0	0
6923275	0	0	1	0	0
5867261	3	0	1	0	0
3922386	8	0	0	0	0
2572390	1	0	1	0	0
2611364	2	0	0	0	0
6456033	5	0	0	0	0
5044663	0	0	0	0	0
7014371	1	0	0	0	0
6981747	5	0	3	0	0
4863699	1	0	0	0	0
4364322	1	0	0	0	0
6960651	2	0	0	0	0
6984513	1	0	0	0	0
3441938	5	1	0	0	0
1272410	3	1	2	0	0
6888725	0	0	1	0	0
3290016	3	0	0	0	0
6855527	1	0	0	0	0
3044758	0	1	0	0	0
1474682	3	0	0	0	0
1097694	2	0	1	0	0
4920231	1	0	0	0	0
227062	1	1	0	0	0
4864417	1	0	0	0	0
5198599	1	1	0	0	0
6758267	2	0	0	0	0
5702265	1	0	0	0	0
4095854	25	3	10	2	0
5857447	9	0	1	1	0
6937123	1	0	1	0	0
4715961	8	0	4	0	0
6992197	2	0	0	0	0
2793564	1	0	0	0	0
1093206	1	0	0	0	0
1814306	0	0	0	0	0
3035584	1	0	0	0	0
6925153	7	0	1	0	0
1721912	1	1	0	0	0
3710612	15	1	6	0	1
6877671	2	0	1	0	0
2708516	3	0	0	0	0
5471227	2	0	0	0	0
2295050	7	0	0	0	0
1992900	10	0	0	1	0
4777235	15	0	0	0	0
6916101	0	0	1	0	0
7003969	1	0	0	0	0
2526090	1	0	0	0	0
6466861	8	0	8	1	0
4061614	2	1	2	0	0
6925335	1	0	0	0	0
6158321	2	0	0	0	0
523870	0	1	1	1	0
6953411	1	0	0	0	0
6985933	2	0	0	0	0
6953415	1	0	2	0	0
727564	10	0	2	0	0
3586526	3	0	2	0	0
4076050	2	0	0	0	0
4679872	1	0	0	0	0
4094456	4	0	0	0	0
6961833	1	0	0	0	0
6897199	0	1	0	0	0
4764983	1	0	0	0	0
630528	1	0	0	1	0
7002737	1	0	0	0	0
6005379	2	0	3	0	0
6447873	1	0	1	0	0
4714833	1	0	0	0	0
6279789	0	0	0	0	0
3317148	13	0	0	0	0
6881711	1	0	0	0	0
3799576	10	0	0	0	0
2781504	0	0	0	0	0
5313129	0	0	0	0	0
5649793	2	0	6	1	0
6914475	0	0	0	0	0
5224167	1	0	0	0	0
6928641	1	0	0	0	0
5171681	1	0	0	0	0
6913125	1	0	0	0	0
2363062	0	0	1	0	0
6999165	0	0	0	0	1
6219183	9	0	0	0	0
4127490	43	1	0	0	0
5957677	4	0	0	0	0
6897731	1	0	0	0	0
6988351	1	0	0	0	0
2037010	1	0	0	0	0
3176834	6	2	1	1	0
6944273	2	1	1	0	0
6998341	0	0	0	1	0
2065762	10	0	0	0	0
6750641	4	0	1	0	0
2470114	7	0	2	1	0
5415147	5	0	2	0	0
5509619	5	0	0	0	0
4149166	3	0	0	0	0
4362498	0	1	0	2	0
6984467	3	0	1	0	0
2043488	1	0	0	0	0
2639316	6	0	1	1	0
2710054	4	0	0	0	0
1744034	1	0	0	1	0
6530035	0	0	0	0	0
5217921	10	0	0	0	0
7006689	0	0	0	1	0
6967295	1	0	0	0	0
6963603	1	0	0	0	0
3934404	1	0	1	0	0
2469234	17	0	3	2	0
2116398	8	0	0	0	0
6884729	0	0	1	0	0
6966219	1	0	0	0	0
5103637	7	0	0	0	0
6962513	1	0	0	0	0
6883719	3	0	1	0	0
6938531	1	0	0	0	0
6938533	0	0	0	0	0
6923061	1	1	0	0	0
6923067	3	0	0	0	0
6780721	2	1	1	0	0
1770854	3	1	0	0	0
1237344	2	1	0	0	0
3628330	7	0	0	0	0
3508482	0	0	0	0	0
6315107	5	0	0	0	0
3067176	7	0	1	2	0
6989333	4	0	0	0	0
6026167	0	0	1	0	0
3269220	1	0	2	0	0
3924086	0	0	0	0	0
6338929	1	0	0	0	0
1124892	1	0	0	0	0
5177213	5	0	0	0	0
4297392	2	0	0	0	0
6610561	8	0	0	0	0
2351626	0	0	1	0	0
6985481	1	0	0	0	0
6970873	5	0	1	1	0
5497533	0	0	1	0	0
3180856	1	0	0	0	0
5685271	2	0	1	0	0
6810897	2	0	0	0	0
2826574	1	0	0	0	0
6982451	0	0	0	0	0
1314730	0	0	1	0	0
3660938	2	0	0	0	0
6993611	1	0	1	0	0
5336839	4	0	1	0	0
6566807	2	0	2	1	0
6965523	2	0	0	0	0
6954467	1	1	0	0	0
4454312	4	0	0	0	0
3408276	2	0	0	0	0
7003907	0	0	1	0	0
6716785	4	0	0	0	0
6241591	1	0	1	0	0
3445222	10	0	0	0	0
6624941	6	0	0	0	0
5936153	2	0	0	0	0
2350390	4	0	0	0	0
2217350	2	0	0	0	0
6946439	2	0	0	0	0
2973928	3	0	1	0	0
6965027	1	0	0	0	0
6988443	2	0	0	0	0
6995513	0	0	1	0	0
2345860	3	0	0	0	0
6659371	2	0	0	0	0
6964937	0	0	1	0	0
2458702	0	0	0	0	0
6971475	2	0	0	1	0
6971473	0	0	1	0	0
6891455	1	0	0	0	0
5108177	6	0	3	0	0
6411393	0	0	0	0	0
852286	30	2	5	4	0
5238409	0	0	0	0	0
5984333	1	0	0	0	0
6937825	2	0	0	0	0
5274601	7	0	3	2	0
1666132	0	0	1	0	0
3747988	8	0	2	0	0
3915082	1	0	0	0	0
3657240	1	0	0	0	0
3867604	2	0	0	0	0
943532	1	0	0	0	0
4312676	10	0	0	0	0
4756053	2	0	1	0	0
4192694	10	1	2	2	0
6974173	1	0	0	0	0
2543784	27	0	1	0	0
5063215	0	0	0	0	0
1824584	5	0	2	2	0
5144447	0	0	0	1	0
2310666	3	0	0	0	0
3903126	10	0	1	0	0
905114	16	1	0	0	0
6946297	1	0	1	0	0
5648303	1	0	0	0	0
2945780	2	0	1	0	0
6525113	1	0	0	0	0
6920885	0	0	1	0	0
6936993	0	1	0	0	0
6920881	0	0	0	0	0
3888296	3	0	2	1	0
5708915	1	0	0	0	0
6920889	0	0	0	0	0
1086518	0	0	0	0	0
6934625	1	0	0	0	0
3881578	1	0	1	0	0
1923426	0	0	1	0	0
7000765	1	0	0	0	0
57256	0	0	0	0	0
6924419	0	0	0	1	0
3153568	6	0	0	0	0
5547279	4	0	2	1	0
6924413	7	0	0	0	0
3761094	3	0	0	0	0
4877723	1	0	0	0	0
5869271	1	0	0	0	0
483234	8	0	1	1	0
3070526	11	0	0	0	0
6184919	1	0	0	0	0
5403695	1	0	1	0	0
4722363	0	0	0	0	0
6986215	1	0	0	1	0
6996737	2	0	0	0	0
5445073	4	0	1	0	0
6910039	1	0	0	0	0
4414138	0	0	0	0	0
6938099	1	0	0	0	0
3963844	20	0	0	0	0
6910031	0	0	1	0	0
6919185	0	0	3	0	0
6960823	6	0	0	0	0
3700290	1	0	1	0	0
6554891	5	0	0	0	0
6960829	1	0	0	0	0
6893357	1	0	0	0	0
6881369	1	0	0	0	0
4568986	1	0	0	0	0
6952133	1	0	0	0	0
4307194	5	0	0	0	0
4315220	4	0	1	0	0
6835813	17	0	10	1	0
4889575	1	0	0	0	0
4839159	2	0	0	0	0
2266122	6	0	0	0	0
6972697	1	0	0	0	0
649116	15	0	6	1	0
4899953	19	0	0	0	0
2366918	4	0	0	0	0
2405742	0	0	3	0	0
5660655	1	0	0	0	0
3210672	1	0	0	0	0
4244250	4	0	0	0	0
4244252	18	0	0	0	0
4895105	4	0	1	1	0
2389720	7	0	0	0	0
3120838	10	0	1	0	0
6947969	0	1	0	0	0
2220802	0	0	0	0	0
6323857	3	0	0	0	0
2224856	2	0	0	0	0
3834194	0	0	1	0	0
5840149	4	0	0	0	0
6092679	5	0	1	0	0
6948293	0	1	0	0	0
1396080	0	0	0	0	0
1892664	15	0	8	0	0
5408045	1	0	0	0	0
2593652	5	0	3	5	0
6840929	1	0	0	0	0
1746624	1	0	1	0	0
3322958	25	0	0	0	0
5245575	2	0	0	0	0
4006780	5	0	0	0	0
5908677	0	0	0	0	0
2102088	46	0	0	0	0
2451962	3	0	0	0	0
5693911	1	0	0	0	0
1116588	0	0	1	0	0
4807659	1	0	0	0	0
6993869	1	0	0	0	0
6955833	1	0	0	0	0
1531436	0	1	0	0	0
2795056	12	1	0	0	0
7003025	4	0	0	0	0
6303925	14	0	3	0	0
3051972	1	0	0	0	0
6990369	1	0	0	0	0
4435954	19	0	5	0	0
560054	3	0	2	0	0
3326476	11	0	8	1	0
2304882	4	0	2	1	0
3160890	11	0	9	0	0
1537560	1	0	0	0	0
1985884	13	0	0	0	0
4329736	1	0	0	0	0
4178156	46	0	0	0	0
6962215	1	0	0	0	0
6993829	0	0	1	0	0
1886810	2	0	0	0	0
6935503	0	0	1	0	0
6443977	3	0	0	0	0
6963035	2	1	1	0	0
6221225	14	0	0	0	0
7004697	1	0	0	0	0
2532174	1	0	1	0	0
6958971	0	0	0	0	0
2655504	11	0	0	0	0
228248	7	0	0	0	0
6940603	1	0	0	0	0
2296776	8	1	0	0	0
481890	3	0	1	0	0
2273682	2	0	0	0	0
4628148	1	0	0	0	0
5724897	34	1	0	0	0
1516130	3	0	0	0	0
6930125	1	0	0	0	0
6977429	1	0	0	2	0
6980569	1	0	0	0	0
2402004	2	0	0	0	0
3125216	3	0	0	0	0
5947609	36	0	0	0	0
2293818	1	0	0	0	0
3650664	1	0	0	0	0
6934367	1	0	0	0	0
4353798	3	0	0	0	0
6212547	3	0	0	0	0
5511857	1	0	0	0	0
6081257	1	0	0	0	0
6423983	1	0	0	0	0
3773350	1	0	0	0	0
4216324	3	0	1	1	0
6923379	2	0	0	0	0
3249594	1	0	0	0	0
4477526	27	1	7	1	0
2911178	1	0	0	0	0
6965883	5	0	1	0	0
5711321	21	0	0	0	0
6983647	1	0	0	0	0
7008959	1	0	0	0	0
2300480	1	0	0	0	0
6891867	0	0	1	1	0
7000599	1	0	0	0	0
439172	2	1	0	0	0
2480226	1	0	0	0	0
6438257	0	0	0	0	0
1594092	46	1	8	1	1
1708872	7	0	0	0	0
5570041	1	0	0	0	0
5784211	3	0	3	0	0
7016233	1	0	0	0	0
2549900	3	0	1	1	0
4176918	2	0	0	0	0
1638876	1	0	0	0	0
5403647	1	0	0	0	0
6924085	1	0	1	0	0
5553243	1	0	0	0	0
6975345	3	0	0	0	0
6953065	1	0	0	0	0
4085594	4	0	0	0	0
6896593	6	0	0	0	0
2482598	0	0	1	0	0
4343600	5	0	0	0	0
1563236	1	0	0	0	0
6947397	1	0	0	0	0
3958630	0	0	0	0	0
5725267	0	0	2	0	0
2952964	6	0	5	3	0
6864535	1	0	0	0	0
5200857	18	0	0	0	0
6937107	1	0	0	0	0
6120447	1	0	1	0	0
6982873	2	0	0	0	0
6987945	4	0	2	0	0
2575306	2	0	0	0	0
6969371	1	0	0	0	0
6946351	1	0	0	0	0
2125992	1	0	0	0	0
2093812	2	0	0	0	0
6761357	6	0	0	0	0
6962857	7	0	1	0	0
1733542	2	0	0	0	0
6965103	1	0	0	0	0
5644515	0	0	1	1	0
5258339	1	0	0	0	0
800812	3	0	0	0	0
6957197	5	0	3	1	0
6693847	5	0	0	0	0
6369999	0	1	0	0	0
1645932	9	0	0	0	0
6997633	5	0	0	0	0
2185174	0	0	0	0	0
3343712	27	0	5	1	0
4569248	1	0	0	0	0
3310922	1	0	0	0	0
2618622	2	0	0	0	0
3631772	6	0	0	0	0
4268492	13	0	0	0	0
5564751	15	0	0	0	0
